Name,Property,Buyer,Showing Date,Agent,Showing Type,Duration,Status,Feedback,Interest Level,Follow Up Required,Opportunity
APPT-001,PROP-101,ACC-001,20/06/25 10:00,Sarah Johnson,Private,60,Scheduled,,High,TRUE,OPP-001
APPT-002,PROP-102,ACC-002,19/06/25 14:30,Michael Chen,Private,45,Completed,Loved the historic charm and original details. Concerned about parking availability in the neighborhood. Kitchen renovation is impressive.,High,TRUE,OPP-002
APPT-003,PROP-103,ACC-003,21/06/25 11:00,Jennifer Martinez,Private,90,Scheduled,,Medium,FALSE,OPP-003
APPT-004,PROP-104,ACC-004,18/06/25 16:00,Robert Wilson,Private,30,Completed,Beautiful space but feels too small for our family needs. Love the building amenities and location.,Low,FALSE,OPP-004
APPT-005,PROP-105,ACC-005,22/06/25 9:30,Lisa Rodriguez,Private,45,Scheduled,,High,TRUE,OPP-005
APPT-006,PROP-106,ACC-006,17/06/25 13:00,David Thompson,Virtual Tour,30,Completed,Great mountain views and modern finishes. Would like to see it in person. HOA fees seem reasonable.,Medium,TRUE,OPP-006
APPT-007,PROP-107,ACC-007,20/06/25 15:30,Amanda Garcia,Private,60,Cancelled,,No Interest,FALSE,OPP-007
APPT-008,PROP-108,ACC-008,19/06/25 12:00,Mark Anderson,Open House,120,Completed,Fantastic location in Pearl District. Townhome layout works well for our lifestyle. Pricing seems fair for the area.,High,TRUE,OPP-008
APPT-009,PROP-109,ACC-009,21/06/25 10:30,Rachel Williams,Private,50,Scheduled,,Medium,TRUE,OPP-009
APPT-010,PROP-110,ACC-010,18/06/25 17:30,James Lee,Private,40,No Show,,Low,FALSE,OPP-010
APPT-011,PROP-111,ACC-011,22/06/25 16:00,Michelle Taylor,Private,75,Scheduled,,High,TRUE,OPP-011
APPT-012,PROP-112,ACC-012,20/06/25 11:30,Christopher Davis,Private,55,Completed,Stunning historic property with beautiful renovations. Love the private garden. Price point is at the top of our budget.,Medium,TRUE,OPP-012
APPT-013,PROP-113,ACC-013,19/06/25 9:00,Angela Martinez,Private,65,Completed,Impressive executive home with great flow. Master suite is spectacular. Concerned about property taxes and HOA fees.,Medium,TRUE,OPP-013
APPT-014,PROP-114,ACC-014,21/06/25 14:00,Steven Brown,Virtual Tour,25,Completed,Amazing Strip views! Condo is perfect size for us. Building amenities are impressive. Ready to make an offer.,High,TRUE,OPP-014
APPT-015,PROP-115,ACC-015,20/06/25 13:30,Patricia Wilson,Private,50,Completed,Charming property with incredible views. Parking is a concern. Neighborhood is exactly what we're looking for.,High,TRUE,OPP-015
APPT-016,PROP-116,ACC-016,18/06/25 10:00,Kevin Johnson,Private,80,Completed,Waterfront location is amazing. House has great entertaining spaces. Maintenance costs for waterfront property are a consideration.,Medium,TRUE,OPP-016
APPT-017,PROP-117,ACC-017,22/06/25 12:30,Maria Rodriguez,Private,35,Scheduled,,Low,FALSE,OPP-017
APPT-018,PROP-118,ACC-018,19/06/25 15:00,Thomas Anderson,Private,45,Completed,Love the Gold Coast location and lake views. Condo feels spacious and well-maintained. Building has great amenities.,High,TRUE,OPP-018
APPT-019,PROP-119,ACC-019,21/06/25 8:30,Laura Davis,Private,40,Completed,Great historic character and the neighborhood is up-and-coming. Needs some updating but has good bones.,Medium,TRUE,OPP-019
APPT-020,PROP-120,ACC-020,20/06/25 18:00,Daniel Martinez,Private,30,Completed,Industrial loft style is exactly what we wanted. Location is perfect for our lifestyle. Ready to move forward.,High,TRUE,OPP-020
APPT-021,PROP-121,ACC-021,18/06/25 11:00,Jessica Thompson,Private,90,No Show,,No Interest,FALSE,OPP-021
APPT-022,PROP-122,ACC-022,22/06/25 10:00,Ryan Wilson,Private,85,Scheduled,,Medium,TRUE,OPP-022
APPT-023,PROP-123,ACC-023,19/06/25 16:30,Nicole Garcia,Open House,60,Completed,Nice family home in great neighborhood. Pool area is perfect for kids. Schools are highly rated which is important to us.,High,TRUE,OPP-023
APPT-024,PROP-124,ACC-024,21/06/25 15:00,Carlos Rodriguez,Private,120,Scheduled,,High,TRUE,OPP-024
APPT-025,PROP-125,ACC-025,20/06/25 9:00,Amanda Johnson,Private,70,Completed,Oceanfront views are breathtaking. Penthouse has luxury finishes throughout. HOA fees are higher than expected but understandable.,Medium,TRUE,OPP-025
