Name,Address,Property Type,Bedrooms,Bathrooms,Square footage,Lot size,Built Year,Listing price,Market value,Status,Listed Date,Number of days on market,Description,HOA Fees,Property Taxes,Garage spaces,Have a pool,Have a fireplace,Location,Primary Agent
Manhattan Villa,125 Park Avenue New York NY 10017,Condo,3,2.5,2400,0,2018,2850000,2750000,Available,15/05/25,34,"Luxury 3-bedroom condo in the heart of Manhattan featuring floor-to-ceiling windows, marble countertops, hardwood floors, and stunning city views. Premium building amenities include doorman, fitness center, and rooftop terrace.",1250,28500,1,FALSE,TRUE,,
Brooklyn Heights Manor,87 Remsen Street Brooklyn NY 11201,Single Family,4,3,3200,2500,1925,1850000,1795000,Under Contract,20/04/25,59,"Historic Brooklyn Heights townhouse with original architectural details, renovated kitchen, multiple fireplaces, private garden, and breathtaking views of Manhattan skyline.",0,22400,0,FALSE,TRUE,,
Sunset Ridge Estate,456 Pacific Coast Highway Malibu CA 90265,Single Family,5,4.5,4800,12000,2005,8500000,8200000,Available,01/06/25,17,"Spectacular oceanfront estate with panoramic Pacific views, infinity pool, wine cellar, gourmet kitchen, master suite with private balcony, and direct beach access.",2500,85000,3,TRUE,TRUE,,
Chelsea Loft Penthouse,234 West 14th Street New York NY 10011,Condo,2,2,1800,0,2020,3200000,3150000,Sold,10/03/25,95,"Modern penthouse loft in trendy Chelsea with exposed brick, industrial windows, chef's kitchen, private terrace, and premium building amenities including gym and rooftop deck.",950,32000,1,FALSE,FALSE,,
Austin Creek Cottage,789 South Lamar Boulevard Austin TX 78704,Single Family,3,2,1650,6800,1978,695000,680000,Available,28/05/25,21,"Charming bungalow in South Austin with updated kitchen, original hardwood floors, spacious backyard with mature oak trees, and walking distance to South Lamar restaurants.",0,8900,2,FALSE,TRUE,,
Denver Mountain View,321 Speer Boulevard Denver CO 80204,Condo,2,1.5,1200,0,2015,485000,475000,Withdrawn,05/04/25,74,"Contemporary condo with mountain views, open floor plan, stainless steel appliances, in-unit laundry, and building amenities including fitness center and rooftop patio.",385,4850,1,FALSE,FALSE,,
Miami Beach Oasis,567 Ocean Drive Miami Beach FL 33139,Condo,3,3,2200,0,2019,1750000,1680000,Available,10/06/25,8,"Luxurious oceanfront condo with direct beach access, floor-to-ceiling windows, marble bathrooms, gourmet kitchen, and resort-style building amenities.",1800,17500,2,TRUE,FALSE,,
Portland Pearl Sanctuary,890 NW 11th Avenue Portland OR 97209,Townhouse,3,2.5,1950,800,2012,825000,810000,Under Contract,02/05/25,47,"Modern townhome in the Pearl District with rooftop deck, attached garage, energy-efficient features, and walking distance to restaurants and shops.",425,16500,2,FALSE,TRUE,,
Nashville Music Row Retreat,432 Music Square East Nashville TN 37203,Single Family,4,3,2800,4200,1995,975000,950000,Available,20/05/25,29,"Stunning home near Music Row with vaulted ceilings, updated kitchen, master suite with walk-in closet, screened porch, and beautifully landscaped yard.",0,12675,2,FALSE,TRUE,,
Seattle Waterfront Haven,654 Alaskan Way Seattle WA 98104,Condo,2,2,1600,0,2017,1250000,1225000,Available,05/06/25,13,"Waterfront condo with Elliott Bay views, modern finishes, floor-to-ceiling windows, premium appliances, and building amenities including concierge service.",745,12500,1,FALSE,FALSE,,
